Test_ID,Input_Text,Category,Priority,Expected_Type,Actual_Type,Expected_Target,Actual_Target,Expected_Value,Actual_Value,Expected_Contains,Actual_Answer,Intent_Status,Entity_Status,Response_Status,Value_Status,Ambiguity_Status,Medical_Status,Typo_Status,Phrasing_Status,Overall_Status,Fallback,Fallback_Reason,Error_Message
22,tell me about implants,info_definition,Critical,answer,clarification,,,,,virtual fixtures,,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,NO,,
23,where is the skull,info_location,Critical,answer,answer,,,,,left,left,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
24,where are the implants,info_location,Critical,answer,answer,,,,,right,right,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
25,which side is the menu,info_location,Critical,answer,answer,,,,,center,center,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
26,where is the xray display,info_location,Critical,answer,answer,,,,,above,above the skull,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
27,give me the implant,size_request,Critical,clarification,clarification,,,,,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
28,provide me with implants,size_request,Critical,clarification,clarification,,,,,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
29,turnn on handles,edge_cases,Enhancement,tool_action,clarification,handles,,on,,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
30,activat the handles,edge_cases,Enhancement,tool_action,clarification,handles,,on,,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
31,what are the sinuses,edge_cases,Enhancement,answer,answer,,,,,maxillary sinuses,sinus overlay: Maxillary sinuses are air-filled cavities in the upper jawbone that must be avoided during implant placement to prevent complications.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
32,show me the dental implants,edge_cases,Enhancement,tool_action,clarification,implants,,on,,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
33,turn on,ambiguous,Important,clarification,clarification,,,,,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
34,what is,ambiguous,Important,clarification,ERROR,,,,,,,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,YES,Exception: 'answer','answer'
35,set brightness,ambiguous,Important,clarification,clarification,,,,,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
36,can you please turn on the handles for me,complex_phrasing,Enhancement,tool_action,tool_action,handles,handles,on,on,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
37,I would like to activate the xray flashlight,complex_phrasing,Enhancement,tool_action,tool_action,xray_flashlight,xray_flashlight,on,on,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
38,could you show me information about the nerve,complex_phrasing,Enhancement,answer,tool_action,,show_nerve,,on,mandibular nerve,,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,NO,,
39,switch on the xray flashlight,control_on,Critical,tool_action,clarification,xray_flashlight,,on,,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
40,disable sinus overlay,control_off,Critical,tool_action,tool_action,show_sinus,show_sinus,off,off,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
41,set contrast to 25%,control_value,Critical,tool_action,tool_action,contrast,contrast,25,25.0,,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,NO,,
42,increase brightness by 10,control_value,Critical,tool_action,tool_action,brightness,brightness,10,{'length_z_mm': 10.0},,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,NO,,
43,what is the dental tray,info_definition,Critical,answer,answer,,,,,dental tray,dental_tray is a VR scene element.,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO,,
44,where is the menu bar located,info_location,Critical,answer,answer,,,,,center,center,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
45,give me implant size 3.5 x 8,control_value,Critical,tool_action,clarification,implants,,"{'height_y_mm': 3.5, 'length_z_mm': 8}",,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
46,turn off,ambiguous,Important,clarification,clarification,,,,,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
47,set,ambiguous,Important,clarification,clarification,,,,,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
48,activat the handl,edge_cases,Enhancement,tool_action,clarification,handles,,on,,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
49,swich off the xray,edge_cases,Enhancement,tool_action,clarification,xray_flashlight,,off,,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
50,would you mind turning on the handles for me,complex_phrasing,Enhancement,tool_action,clarification,handles,,on,,,,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,NO,,
51,I need to see the nerve information,complex_phrasing,Enhancement,answer,clarification,,,,,mandibular nerve,,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,NO,,
52,please provide me with implant dimensions,size_request,Critical,clarification,clarification,,,,,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,,
